42;40.000;55.000;;44.000;;54.000;;43.000;;43.000;12.000;70.000;;45.000;;46.000;;69.000;;44.000;;45.000;;44.000;;46.000;;45.000;;45.000;;49.000;;48.000;;48.000;;30.000;;29.000;;29.000;15.000;39.000;;38.000;;38.000;;62.000;;61.000;;61.000;;549.000;;548.000;;548.000
43;;32.000;;32.000;;32.000;67.440;32.000;;32.000;;32.000;;32.000;;32.000;57.905;32.000;130.058;32.000;;32.000;;32.000;;32.000;170.095;32.000;;32.000;;32.000;5.215;32.000;;32.000;;30.000;;30.000;;30.000;;32.000;;32.000;;32.000;;32.000;;32.000;;32.000;;549.000;;548.000;;548.000
44;;32.000;;32.000;;32.000;4.000;32.000;;32.000;60.000;32.000;;32.000;;32.000;;32.000;;32.000;;32.000;;32.000;;32.000;;32.000;;32.000;;32.000;;32.000;;32.000;;30.000;;30.000;;30.000;;32.000;;32.000;;32.000;;32.000;;32.000;;32.000;;549.000;;548.000;;548.000
45;;32.000;;32.000;;32.000;43.464;32.000;;32.000;;32.000;;32.000;386.113;32.000;;32.000;;32.000;39.361;32.000;;32.000;;32.000;20.624;32.000;;32.000;5.237;32.000;31.164;32.000;;32.000;266.842;30.000;;30.000;;30.000;65.716;32.000;;32.000;;32.000;;32.000;;32.000;;32.000;;549.000;;548.000;;548.000
46;3.989;55.000;;44.000;;54.000;52.535;43.000;2.644;43.000;8.568;70.000;;45.000;16.458;46.000;;69.000;2.785;44.000;;45.000;2.587;44.000;;46.000;;45.000;;45.000;108.161;49.000;;48.000;;48.000;759.086;28.600;;28.600;;28.600;;39.000;;38.000;;38.000;0.100;62.000;;61.000;;61.000;;549.000;;548.000;;548.000
47;20.000;55.000;;44.000;;54.000;;43.000;;43.000;7.500;70.000;;45.000;;46.000;;69.000;;44.000;;45.000;;44.000;;46.000;;45.000;;45.000;;49.000;;48.000;;48.000;;30.000;;29.000;;29.000;;39.000;;38.000;;38.000;;62.000;;61.000;;61.000;;549.000;;548.000;;548.000
48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;7.287;55.000;2.739;44.000;;54.000;6.280;43.000;;43.000;12.311;70.000;;45.000;;46.000;;69.000;;44.000;;45.000;;44.000;0.020;46.000;2.558;45.000;;45.000;0.811;49.000;;48.000;;48.000;5.794;30.000;;29.000;;29.000;;39.000;;38.000;;38.000;0.035;62.000;;61.000;;61.000;;549.000;;548.000;;548.000
50;;55.000;;43.000;;54.000;2.000;42.000;;42.000;;70.000;;42.000;;46.000;;69.000;6.000;41.000;;45.000;;41.000;;42.000;50.000;42.000;;42.000;;49.000;;48.000;;48.000;;30.000;;29.000;;29.000;;39.000;;38.000;;38.000;;62.000;;61.000;;61.000;;549.000;;548.000;;548.000
51;8.100;55.000;;44.000;;54.000;70.000;43.000;;43.000;;70.000;;45.000;;46.000;;69.000;3.400;44.000;;45.000;;44.000;;46.000;;45.000;;45.000;;49.000;;48.000;;48.000;;30.000;;29.000;;29.000;;39.000;;38.000;;38.000;;62.000;;61.000;;61.000;;549.000;;548.000;;548.000
52;;55.000;;44.000;;54.000;60.096;43.000;;43.000;6.560;70.000;;45.000;;46.000;;69.000;;44.000;;45.000;;44.000;;46.000;;45.000;;45.000;;49.000;;48.000;;48.000;;30.000;;29.000;;29.000;;39.000;;38.000;;38.000;;62.000;;61.000;;61.000;;549.000;;548.000;;548.000
53;;55.000;;44.000;;54.000;4.100;43.000;;43.000;;70.000;;45.000;;46.000;36.500;69.000;;44.000;;45.000;;44.000;;46.000;84.000;45.000;;45.000;;49.000;97.000;48.000;;48.000;;30.000;;29.000;;29.000;;39.000;;38.000;;38.000;;62.000;;61.000;;61.000;;549.000;;548.000;;548.000
54;1.500;55.000;;44.000;3.750;54.000;;43.000;;43.000;;70.000;0.375;45.000;;46.000;0.750;69.000;;44.000;;45.000;;44.000;0.375;46.000;;45.000;;45.000;0.375;49.000;;48.000;;48.000;;30.000;;29.000;;29.000;0.750;39.000;;38.000;;38.000;;62.000;;61.000;;61.000;;549.000;;548.000;;548.000
55;1.158;55.000;135.897;44.000;;54.000;;43.000;;43.000;59.821;68.000;8.880;45.000;61.214;46.000;;67.000;;44.000;;45.000;;44.000;;46.000;;45.000;;45.000;3.176;49.000;;48.000;;48.000;;29.000;;28.000;;28.000;;39.000;;38.000;;38.000;;62.000;;61.000;;61.000;;549.000;;548.000;;548.000
56;1.600;55.000;19.300;44.000;;54.000;;43.000;2.000;43.000;7.855;68.000;0.360;45.000;;46.000;;67.000;;44.000;;45.000;2.500;44.000;;46.000;;45.000;;45.000;;49.000;;48.000;;48.000;;29.000;;28.000;;28.000;;39.000;;38.000;;38.000;;62.000;;61.000;;61.000;;549.000;;548.000;;548.000
57;1.208;55.000;;44.000;0.908;54.000;1.280;43.000;0.390;43.000;;70.000;;45.000;;46.000;;69.000;;44.000;;45.000;;44.000;0.257;46.000;0.228;45.000;;45.000;0.054;49.000;;48.000;0.073;48.000;11.092;30.000;8.000;29.000;1.087;29.000;0.037;39.000;0.003;38.000;0.005;38.000;;62.000;;61.000;;61.000;;549.000;;548.000;;548.000
58;2.700;53.000;;42.000;2.900;52.000;;41.000;2.000;41.000;0.600;65.000;;42.000;;42.000;;64.000;0.700;41.000;;41.000;1.000;41.000;34.000;42.000;206.000;41.000;10.000;41.000;1.300;45.000;1.900;44.000;0.300;44.000;;30.000;;29.000;;29.000;;39.000;;38.000;;38.000;;62.000;;61.000;;61.000;;549.000;;548.000;;548.000
59;;55.000;;43.000;;54.000;65.900;42.000;;42.000;;70.000;;43.000;;46.000;;69.000;3.400;42.000;;45.000;;42.000;;46.000;;45.000;;45.000;;49.000;;48.000;;48.000;;30.000;;29.000;;29.000;;39.000;;38.000;;38.000;;62.000;;61.000;;61.000;;549.000;;548.000;;548.000
60;;55.000;;44.000;;54.000;19.903;43.000;;43.000;;70.000;;45.000;;46.000;;69.000;1.481;44.000;;45.000;;44.000;;46.000;48.051;45.000;;45.000;;49.000;0.172;48.000;;48.000;;30.000;;29.000;;29.000;;39.000;;38.000;;38.000;;62.000;;61.000;;61.000;;549.000;;548.000;;548.000
61;;54.000;19.000;42.000;;53.000;;41.000;;41.000;4.000;65.000;;42.000;;46.000;;64.000;;41.000;;45.000;;41.000;;42.000;;42.000;;42.000;;45.000;;44.000;;44.000;;30.000;;29.000;;29.000;;39.000;;38.000;;38.000;;62.000;;61.000;;61.000;;549.000;;548.000;;548.000
62;;55.000;;44.000;;54.000;57.380;43.000;;43.000;1.120;70.000;;45.000;0.380;46.000;;69.000;0.070;44.000;;45.000;;44.000;45.100;46.000;;45.000;;45.000;7.000;49.000;;48.000;;48.000;485.910;30.000;;29.000;;29.000;0.570;39.000;;38.000;;38.000;1.330;62.000;;61.000;;61.000;;549.000;;548.000;;548.000
63;;55.000;;44.000;;54.000;61.500;43.000;;43.000;;70.000;;45.000;;46.000;;69.000;;44.000;17.100;45.000;;44.000;;46.000;71.500;45.000;;45.000;;49.000;7.200;48.000;;48.000;;30.000;;29.000;;29.000;;39.000;;38.000;;38.000;;62.000;;61.000;;61.000;;549.000;;549.000;;548.000
64;;55.000;;44.000;;54.000;1.250;43.000;;43.000;;70.000;;45.000;;46.000;;69.000;30.000;44.000;;45.000;;44.000;;46.000;37.500;45.000;;45.000;;49.000;32.500;48.000;;48.000;;30.000;;29.000;;29.000;;39.000;;38.000;;38.000;;62.000;;61.000;;61.000;;549.000;;548.000;;548.000
65;5.120;55.000;;44.000;;54.000;12.140;43.000;;43.000;6.570;70.000;;45.000;;46.000;;69.000;1.160;44.000;;45.000;;44.000;;46.000;2.100;45.000;;45.000;0.620;49.000;;48.000;;48.000;4.270;30.000;;29.000;;29.000;;39.000;;38.000;;38.000;;62.000;;61.000;;61.000;;549.000;;548.000;;548.000
66;3.180;55.000;6.950;44.000;;54.000;;43.000;;43.000;;70.000;;45.000;;46.000;;69.000;;44.000;;45.000;;44.000;;46.000;;45.000;;45.000;;49.000;;48.000;;48.000;;30.000;;29.000;;29.000;;39.000;;38.000;;38.000;;62.000;;61.000;;61.000;;549.000;;548.000;;548.000
67;1.500;55.000;;44.000;0.200;54.000;20.000;43.000;;43.000;40.000;70.000;;45.000;;46.000;;69.000;2.000;44.000;;45.000;;44.000;2.000;46.000;;45.000;;45.000;;49.000;;48.000;;48.000;;30.000;;29.000;;29.000;;39.000;;38.000;;38.000;;62.000;;61.000;;61.000;;549.000;;548.000;;548.000
68;;55.000;3.564;44.000;;54.000;;43.000;;43.000;;70.000;;45.000;;46.000;;69.000;;44.000;;45.000;;44.000;;46.000;;45.000;;45.000;0.096;49.000;;48.000;;48.000;30.388;30.000;;29.000;;29.000;0.175;39.000;;38.000;;38.000;;62.000;;61.000;;61.000;;549.000;;548.000;;548.000
69;;53.000;28.292;42.000;;52.000;84.872;41.000;;41.000;4.080;55.000;;41.000;;46.000;12.244;54.000;3.128;40.000;;45.000;;40.000;;44.000;;43.000;;43.000;;49.000;;48.000;;48.000;;30.000;;29.000;;29.000;;39.000;;38.000;;38.000;;62.000;;61.000;;61.000;;549.000;;548.000;;548.000
70;;55.000;5.200;42.000;;54.000;;41.000;;41.000;;70.000;;45.000;;46.000;;69.000;;44.000;;45.000;;44.000;;46.000;;45.000;;45.000;0.800;42.000;;41.000;;41.000;80.000;30.000;;29.000;;29.000;;39.000;;38.000;;38.000;;62.000;;61.000;;61.000;;549.000;;548.000;;548.000
